,trial_id,country_name,recruitment_status,country_iso3
2399,775,Spain,Ended,ESP
2400,775,France,Ended,FRA
2401,776,Spain,Ended,ESP
2402,777,Germany,"Ongoing, recruitment ended",DEU
2403,778,Germany,"Ongoing, recruiting",DEU
2404,779,Netherlands,Ended,NLD
2405,780,Italy,"Ongoing, recruitment ended",ITA
2406,781,Spain,"Ongoing, recruiting",ESP
2407,782,Germany,Ended,DEU
2408,782,Denmark,Ended,DNK
2409,782,Italy,Ended,ITA
2410,782,Netherlands,Ended,NLD
2411,782,France,Ended,FRA
2412,783,France,"Ongoing, recruiting",FRA
2413,784,Italy,Ended,ITA
2414,785,Netherlands,Ended,NLD
2415,785,Spain,Ended,ESP
2416,785,Sweden,Ended,SWE
2417,785,Germany,Ended,DEU
2418,785,Austria,Ended,AUT
2419,785,Italy,Ended,ITA
2420,785,France,Ended,FRA
2421,786,France,Ended,FRA
2422,787,Poland,Ended,POL
2423,787,Belgium,Ended,BEL
2424,788,Portugal,Ended,PRT
2425,789,France,"Ongoing, recruitment ended",FRA
2426,790,Hungary,Ended,HUN
2427,791,Belgium,"Ongoing, recruiting",BEL
2428,791,Spain,"Ongoing, recruiting",ESP
2429,791,Italy,"Ongoing, recruiting",ITA
2430,792,France,"Ongoing, recruiting",FRA
2431,793,Netherlands,"Authorised, recruitment pending",NLD
2432,794,France,Ended,FRA
2433,795,France,"Ongoing, recruiting",FRA
2434,796,Spain,Ended,ESP
2435,796,France,Ended,FRA
2436,797,Netherlands,Ended,NLD
2437,798,France,Ended,FRA
2438,799,Ireland,Ended,IRL
2439,799,Austria,Ended,AUT
2440,799,Italy,Ended,ITA
2441,799,Spain,Ended,ESP
2442,799,Belgium,Ended,BEL
2443,799,Germany,Ended,DEU
2444,799,Poland,Ended,POL
2445,800,Belgium,Ended,BEL
2446,801,Germany,"Ongoing, recruiting",DEU
2447,802,Netherlands,"Ongoing, recruiting",NLD
2448,803,Sweden,"Authorised, recruitment pending",SWE
2449,804,France,"Ongoing, recruiting",FRA
2450,804,Spain,"Authorised, recruiting",ESP
2451,805,Poland,"Ongoing, recruitment ended",POL
2452,806,Netherlands,Ended,NLD
2453,806,Belgium,Ended,BEL
2454,806,Czechia,Ended,CZE
2455,806,Portugal,Ended,PRT
2456,806,Spain,Ended,ESP
2457,806,Norway,Ended,NOR
2458,806,Sweden,Ended,SWE
2459,806,France,Ended,FRA
2460,806,Greece,Ended,GRC
2461,806,Italy,Ended,ITA
2462,806,Finland,Ended,FIN
2463,806,Germany,Ended,DEU
2464,807,Portugal,"Ongoing, recruiting",PRT
2465,807,Spain,"Ongoing, recruiting",ESP
2466,807,Italy,"Ongoing, recruiting",ITA
2467,807,Austria,"Ongoing, recruiting",AUT
2468,807,Germany,"Ongoing, recruiting",DEU
2469,807,France,"Ongoing, recruiting",FRA
2470,807,Poland,"Ongoing, recruiting",POL
2471,807,Belgium,"Ongoing, recruiting",BEL
2472,808,Italy,"Ongoing, recruitment ended",ITA
2473,808,Poland,"Ongoing, recruitment ended",POL
2474,808,Germany,"Ongoing, recruitment ended",DEU
2475,808,France,"Ongoing, recruitment ended",FRA
2476,808,Belgium,"Ongoing, recruitment ended",BEL
2477,808,Spain,"Ongoing, recruitment ended",ESP
2478,809,Germany,Not authorised,DEU
